Date-Time,Area_A_Optimizer,Area_A_Wet_Bulb,Area_A_Relative_Humidity,Area_A_Temperature,Area_A_Compressor_Power,Area_A_Compressor_Stage
2017-11-05T20:44:00,2.28612,75.08274207,42.70701639,93.42429508,38.79806557,STAGE 2
2017-11-05T20:46:00,1.19881,75.69304644,43.61410345,93.73272414,39.32234483,STAGE 2
2017-11-05T20:48:00,1.90147,75.94597629,43.55207438,94.08714876,39.83626446,STAGE 2
2017-11-05T20:50:00,1.21745,75.88059041,43.42215,94.07144167,39.10313333,STAGE 2
2017-11-05T20:52:00,1.95313,76.01698608,43.35905882,94.27847059,39.98435294,STAGE 2
2017-11-05T20:54:00,1.91228,76.49368349,43.33077124,94.90215686,40.05969935,STAGE 2
2017-11-05T20:56:00,1.29953,76.50713974,43.13233987,95.0245098,39.42518954,STAGE 2
2017-11-05T20:58:00,0.09606,75.97696652,42.59860656,94.62857377,39.66147541,STAGE 2
2017-11-05T21:00:00,1.92595,75.86276708,42.405,94.58496522,39.27669565,STAGE 2
2017-11-05T21:02:00,1.23047,75.42216605,42.12105,94.16925,39.108425,STAGE 2
2017-11-05T21:04:00,1.95313,76.004316,42.710925,94.6041,39.555875,STAGE 2
2017-11-05T21:06:00,1.95313,76.59695976,42.45344262,95.50339344,39.87672951,STAGE 2
2017-11-05T21:08:00,1.93159,76.03236233,41.51112598,95.28643307,40.35451181,STAGE 2
2017-11-05T21:10:00,1.5625,75.27214606,40.759,94.711,40.209,STAGE 2
2017-11-05T21:12:00,1.95313,75.18995744,41.205525,94.360875,40.136375,STAGE 2
2017-11-05T21:14:00,1.95313,75.49252781,41.679725,94.4965,40.152725,STAGE 2
2017-11-05T21:16:00,1.95313,75.45113378,41.52389344,94.52702459,39.82159836,STAGE 2
2017-11-05T21:18:00,1.83919,75.58367753,41.600775,94.65694167,39.579225,STAGE 2
2017-11-05T21:20:00,0.11685,75.17521314,41.2611453,94.31167521,39.5967265,STAGE 2
2017-11-05T21:22:00,1.95313,75.25016159,41.54175207,94.25742149,39.52504959,STAGE 2
2017-11-05T21:24:00,1.95313,75.39212566,41.302825,94.570275,39.17085,STAGE 2
2017-11-05T21:26:00,1.95313,75.19921861,41.14675,94.40475,39.75325,STAGE 2
2017-11-05T21:28:00,1.95313,75.30938012,41.37231967,94.42540164,40.0825,STAGE 2
2017-11-05T21:30:00,1.95313,75.06359852,41.34434167,94.12208333,39.68834167,STAGE 2
2017-11-05T21:32:00,1.84106,75.55466616,42.00790984,94.40045902,39.7392623,STAGE 2
2017-11-05T21:34:00,0.08276,75.1353332,41.42245763,94.17295763,40.20860169,STAGE 2
2017-11-05T21:36:00,1.95313,75.12598968,41.60585366,94.06235772,39.92715447,STAGE 2
2017-11-05T21:38:00,1.95313,75.27434405,41.8437913,94.12666087,39.53346087,STAGE 2
2017-11-05T21:40:00,1.95313,75.37887201,41.60305785,94.39087603,39.61156198,STAGE 2
2017-11-05T21:42:00,1.9006,75.5740172,41.44852101,94.72692437,40.08760504,STAGE 2
2017-11-05T21:44:00,1.22998,76.00550924,41.50716529,95.25390909,40.2092314,STAGE 2
2017-11-05T21:46:00,1.95313,75.68966402,41.0971157,95.06858678,40.18463636,STAGE 2
2017-11-05T21:48:00,1.95313,75.36944746,40.91476667,94.75229167,39.45054167,STAGE 2
2017-11-05T21:50:00,1.95313,75.50388813,41.15351034,94.79644138,39.56471724,STAGE 2
2017-11-05T21:52:00,1.95313,76.14453365,41.43654483,95.47257931,39.98844138,STAGE 2
2017-11-05T21:54:00,0,76.16881996,41.41996738,95.51316123,40.052,STAGE 2
2017-11-05T21:56:00,0,76.08433699,41.35051724,95.44158621,40.052,STAGE 2
2017-11-05T21:58:00,0,75.99985402,41.2810671,95.37001118,40.052,STAGE 2
2017-11-05T22:00:00,0,75.91537105,41.21161696,95.29843616,40.052,STAGE 2
2017-11-05T22:02:00,0,75.83088808,41.14216682,95.22686114,40.052,STAGE 2
2017-11-05T22:04:00,0,75.74640511,41.07271668,95.15528611,40.052,STAGE 2
2017-11-05T22:06:00,0,75.66192214,41.00326654,95.08371109,40.052,STAGE 2
2017-11-05T22:08:00,0,75.57743917,40.9338164,95.01213607,40.15524286,STAGE 2
2017-11-05T22:10:00,0,75.4929562,40.86436626,94.94056104,41.53181429,STAGE 2
2017-11-05T22:12:00,1.95313,75.73435102,40.64789431,95.3745122,39.95402439,STAGE 2
2017-11-05T22:14:00,1.95313,75.46370196,40.17343443,95.28491803,39.57520492,STAGE 2
2017-11-05T22:16:00,1.95313,75.02352248,40.21226316,94.68763158,39.11765789,STAGE 2
2017-11-05T22:18:00,1.95313,74.84293148,40.45570161,94.3178629,39.32220968,STAGE 2
2017-11-05T22:20:00,1.95313,75.24994966,41.08325,94.50508333,39.30420833,STAGE 2
2017-11-05T22:22:00,1.95313,75.46702573,41.17093277,94.73922689,40.2717395,STAGE 2
